,compound,create_date,negative,neutral,news_media,positive,tweets_ago
20,0.0,2017-12-02 13:03:03+00:00,0.0,1.0,BBC,0.0,-20
21,0.0,2017-12-02 12:33:04+00:00,0.0,1.0,BBC,0.0,-21
22,-0.1027,2017-12-02 12:00:07+00:00,0.12,0.775,BBC,0.105,-22
23,0.0,2017-12-02 11:24:49+00:00,0.0,1.0,BBC,0.0,-23
24,0.0,2017-12-02 11:00:08+00:00,0.0,1.0,BBC,0.0,-24
25,-0.6801,2017-12-02 10:30:06+00:00,0.272,0.728,BBC,0.0,-25
26,0.7845,2017-12-02 10:00:03+00:00,0.0,0.711,BBC,0.289,-26
27,0.1065,2017-12-02 09:04:04+00:00,0.176,0.617,BBC,0.208,-27
28,0.2023,2017-12-02 08:33:04+00:00,0.0,0.909,BBC,0.091,-28
29,0.4767,2017-12-02 08:05:04+00:00,0.0,0.709,BBC,0.291,-29
30,-0.2023,2017-12-02 07:34:05+00:00,0.087,0.913,BBC,0.0,-30
31,-0.3818,2017-12-01 19:00:02+00:00,0.133,0.867,BBC,0.0,-31
32,0.0,2017-12-01 18:30:09+00:00,0.0,1.0,BBC,0.0,-32
33,0.5574,2017-12-01 18:01:03+00:00,0.0,0.816,BBC,0.184,-33
34,0.8591,2017-12-01 17:30:09+00:00,0.0,0.667,BBC,0.333,-34
35,0.4767,2017-12-01 17:18:28+00:00,0.0,0.807,BBC,0.193,-35
36,0.0,2017-12-01 17:06:02+00:00,0.0,1.0,BBC,0.0,-36
37,0.4003,2017-12-01 16:30:03+00:00,0.0,0.828,BBC,0.172,-37
38,0.0,2017-12-01 16:03:06+00:00,0.0,1.0,BBC,0.0,-38
39,0.0,2017-12-01 15:31:05+00:00,0.0,1.0,BBC,0.0,-39
40,0.0,2017-12-01 14:59:04+00:00,0.0,1.0,BBC,0.0,-40
41,0.1027,2017-12-01 14:28:33+00:00,0.117,0.748,BBC,0.136,-41
42,-0.296,2017-12-01 14:00:07+00:00,0.115,0.885,BBC,0.0,-42
43,0.0,2017-12-01 13:31:02+00:00,0.0,1.0,BBC,0.0,-43
44,0.5423,2017-12-01 13:00:08+00:00,0.0,0.8,BBC,0.2,-44
45,-0.3818,2017-12-01 12:30:03+00:00,0.233,0.625,BBC,0.142,-45
46,0.8151,2017-12-01 12:18:09+00:00,0.0,0.718,BBC,0.282,-46
47,0.5994,2017-12-01 12:03:01+00:00,0.0,0.769,BBC,0.231,-47
48,0.0,2017-12-01 11:34:46+00:00,0.0,1.0,BBC,0.0,-48
49,0.0,2017-12-01 11:02:10+00:00,0.0,1.0,BBC,0.0,-49
50,-0.2732,2017-12-01 10:34:22+00:00,0.122,0.798,BBC,0.08,-50
51,0.5719,2017-12-01 10:30:07+00:00,0.0,0.829,BBC,0.171,-51
52,0.5719,2017-12-01 10:00:05+00:00,0.0,0.821,BBC,0.179,-52
53,0.296,2017-12-01 09:44:25+00:00,0.0,0.833,BBC,0.167,-53
54,0.5093,2017-12-01 09:02:06+00:00,0.0,0.829,BBC,0.171,-54
55,0.0,2017-12-01 08:44:23+00:00,0.0,1.0,BBC,0.0,-55
56,0.0,2017-12-01 08:44:13+00:00,0.0,1.0,BBC,0.0,-56
57,0.6114,2017-12-01 08:43:21+00:00,0.0,0.501,BBC,0.499,-57
58,0.5267,2017-12-01 08:43:18+00:00,0.0,0.876,BBC,0.124,-58
59,0.0,2017-12-01 08:43:08+00:00,0.0,1.0,BBC,0.0,-59
60,0.0,2017-12-01 08:40:03+00:00,0.0,1.0,BBC,0.0,-60
61,0.0,2017-12-01 08:20:04+00:00,0.0,1.0,BBC,0.0,-61
62,0.5213,2017-12-01 08:00:06+00:00,0.0,0.786,BBC,0.214,-62
63,0.0,2017-12-01 07:38:05+00:00,0.0,1.0,BBC,0.0,-63
64,0.0,2017-11-30 20:35:05+00:00,0.0,1.0,BBC,0.0,-64
65,0.0,2017-11-30 20:02:03+00:00,0.0,1.0,BBC,0.0,-65
66,0.0,2017-11-30 19:33:02+00:00,0.0,1.0,BBC,0.0,-66
67,0.2263,2017-11-30 19:00:08+00:00,0.0,0.905,BBC,0.095,-67
68,0.0,2017-11-30 18:33:03+00:00,0.0,1.0,BBC,0.0,-68
69,0.6369,2017-11-30 18:00:13+00:00,0.0,0.704,BBC,0.296,-69
70,0.2263,2017-11-30 17:27:05+00:00,0.0,0.84,BBC,0.16,-70
71,0.0,2017-11-30 17:00:18+00:00,0.0,1.0,BBC,0.0,-71
72,0.7712,2017-11-30 16:46:25+00:00,0.0,0.749,BBC,0.251,-72
73,0.5719,2017-11-30 16:32:03+00:00,0.0,0.709,BBC,0.291,-73
74,0.7269,2017-11-30 16:25:30+00:00,0.106,0.549,BBC,0.345,-74
75,0.4767,2017-11-30 16:25:14+00:00,0.0,0.796,BBC,0.204,-75
76,0.0,2017-11-30 16:25:02+00:00,0.0,1.0,BBC,0.0,-76
77,0.0,2017-11-30 16:23:02+00:00,0.0,1.0,BBC,0.0,-77
78,0.5983,2017-11-30 16:22:48+00:00,0.0,0.755,BBC,0.245,-78
79,0.0,2017-11-30 16:02:14+00:00,0.0,1.0,BBC,0.0,-79
80,0.0,2017-11-30 15:30:05+00:00,0.0,1.0,BBC,0.0,-80
81,-0.1531,2017-11-30 14:59:03+00:00,0.111,0.808,BBC,0.081,-81
82,0.0,2017-11-30 14:33:05+00:00,0.0,1.0,BBC,0.0,-82
